emp_id,name,address,salary,dob,nin,department,emergency_name,emergency_relationship,emergency_phone
22-3708071,Rab Feast,9503 Buell Drive,"£30,397.56 ",01/04/1986,rb499211c,Driver,Jereme Slayford,Father,07721 065 357
49-2217652,Georas Divisek,25 Moulton Lane,"£87,452.13 ",10/05/1951,ht175666x,Packager,Nessy Panting,Civil Partner,07326 502 172
40-5288701,Ame Balser,2282 Sutteridge Lane,"£71,557.80 ",22/01/1998,dt545040m,Packager,Kipp Lavens,Boyfriend,07489 365 686
78-6321379,Thea Bradborne,3118 Lien Circle,"£35,665.99 ",27/09/1967,vb943949c,Driver,Theo Sheard,Mother,07356 401 825
41-3659990,Ruperta Stobie,2825 Pepper Wood Center,"£83,681.20 ",17/09/1976,qf137469l,Packager,Joly Doram,Girlfriend,07106 575 891
43-8492699,Hortense Berecloth,2 Barby Parkway,"£38,548.00 ",29/07/1987,zt656754o,Driver,Baird Fingleton,Boyfriend,07789 751 694
68-4171892,Yoshi Peakman,641 Warner Point,"£20,293.38 ",06/03/1953,to907441w,Packager,Patty Horsburgh,Husband,07924 918 978
72-5913162,Rudolfo Norridge,22 Golf Court,"£37,428.03 ",24/08/1968,du615694i,Packager,Frazier Snelman,Boyfriend,07235 513 354
07-4517183,Rochell O'Doohaine,1802 Hayes Court,"£25,471.21 ",08/11/1973,rz111360g,Packager,Regan Yarn,Mother,07967 811 408
55-0320348,Granville McKitterick,04 Rieder Parkway,"£83,664.78 ",20/02/1965,dr180938w,Driver,Zita Stanborough,Father,07532 693 273
59-8314806,Scotty Keson,14 Kipling Point,"£67,107.29 ",12/08/1967,gx924268x,Packager,Norrie Aggis,Husband,07390 692 263
66-0739491,Latashia McGaugan,1386 Artisan Parkway,"£58,941.46 ",08/07/1992,nz662678p,Manager,Eada Silmon,Wife,07007 182 872
98-1678319,Lamar Chesters,2234 Heffernan Place,"£97,090.47 ",01/02/1952,wh660279o,Driver,Maryjo Elgie,Wife,07007 723 133
30-1322103,Earl Wagerfield,34 Lillian Center,"£91,770.28 ",05/04/1998,zw251674d,Packager,Bastian Walliker,Civil Partner,07695 349 556
31-7167962,Emanuele Strickland,3772 Dawn Drive,"£15,549.15 ",14/04/1967,qy726870d,HR,Winfred Moncey,Wife,07510 608 683
05-1945849,Cherilyn Jepps,062 Nevada Parkway,"£85,550.33 ",30/10/1971,xz796669h,Driver,Michaelina Brahms,Civil Partner,07996 211 011
36-7073092,Thelma Wilkie,113 Badeau Plaza,"£32,280.23 ",01/10/1984,bl221585z,Packager,Tabbitha Shemmans,Wife,07625 474 049
86-2503827,Nikola Henbury,8116 Erie Junction,"£95,300.54 ",28/03/1968,cz046288u,Driver,Jone Tatersale,Mother,07761 255 990
29-7832408,Lexine Joney,73817 Muir Court,"£19,232.41 ",07/04/1974,pk696816m,Packager,Quinn Goodfellow,Husband,07755 486 861
35-8208617,Sayre Simnel,761 Kennedy Lane,"£72,894.00 ",19/05/1952,jr596419t,Packager,Flory Billham,Husband,07184 248 686
43-2037577,Leisha Mieville,027 Clarendon Center,"£68,826.28 ",23/11/1950,nj080641o,Driver,Alyosha Halewood,Boyfriend,07204 386 023
50-9092071,Jodie Busswell,8 Pepper Wood Avenue,"£14,441.41 ",07/12/1958,qz236393m,Packager,Simone Kitchenman,Father,07958 325 944
75-6520267,Truda Edleston,37994 Green Ridge Drive,"£23,646.90 ",07/03/1966,lp500272n,Driver,Tyler Rowsell,Wife,07753 973 466
12-5128654,Hadlee Stealey,0 4th Court,"£52,510.07 ",17/11/1997,tf577069v,Packager,Renee Kubatsch,Mother,07643 213 336
10-4168432,Robinetta Triswell,5 Independence Trail,"£74,033.43 ",29/09/1956,eu934314q,Packager,Ivett Rapier,Boyfriend,07016 239 710
85-7718619,Rhody Yaxley,90344 Merrick Crossing,"£98,055.42 ",24/01/1983,of102924m,HR,Margot Santos,Girlfriend,07915 649 295
